PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q00688,FKBP3,-0.31812400095310345,0.4630115866393957,0.8582914653060307,False,False,Not Significant
Q00839,HNRNPU,-0.5590090370197149,0.041512225545068684,0.8477277197949515,False,False,Not Significant
Q01081,U2AF1,-0.18966788531432766,0.6552903515473861,0.9167819700214441,False,False,Not Significant
Q01082,SPTBN1,-0.7747299060083641,0.7079227847394788,0.9404904906294363,False,False,Not Significant
Q01130,SRSF2,-2.9078494587626955,0.1817303052165456,0.8477277197949515,False,False,Not Significant
Q01469,FABP5,-1.3885078057281195,0.06980067426958757,0.8477277197949515,False,False,Not Significant
Q01518,CAP1,-1.7903401626347097,0.16204106749616637,0.8477277197949515,False,False,Not Significant
Q01546,KRT76,-2.256128679351915,0.2070220751580502,0.8477277197949515,False,False,Not Significant
Q01780,EXOSC10,0.022657492510099075,0.9504378057482562,0.9937029628381181,False,False,Not Significant
Q01844,EWSR1,-0.5547504607637528,0.26804453977538967,0.8477277197949515,False,False,Not Significant
Q02413,DSG1,-0.0839935202969766,0.8783356639450078,0.9868432990491525,False,False,Not Significant
Q02539,H1-1,-3.283768288951313,0.008961386210791261,0.8477277197949515,True,False,Exploratory (Raw P < 0.05)
Q02543,RPL18A,0.057535771425389015,0.849121432327502,0.9800640735828028,False,False,Not Significant
Q02750,MAP2K1,-2.3050023784282674,0.31588077902673883,0.8477277197949515,False,False,Not Significant
Q02790,FKBP4,-0.7250646002257106,0.7405801011074533,0.9552409999791789,False,False,Not Significant
Q02809,PLOD1,0.1931091051204843,0.9124285767079914,0.992588799436721,False,False,Not Significant
Q02878,RPL6,-0.985395686834801,0.09788495940020753,0.8477277197949515,False,False,Not Significant
Q02880,TOP2B,-3.5774739630074284,0.18621643057823636,0.8477277197949515,False,False,Not Significant
Q02978,SLC25A11,-0.12445900033870938,0.7741722298702206,0.9604003766957241,False,False,Not Significant
Q03188,CENPC,-0.44375728308559914,0.8321260741319425,0.9714573256002851,False,False,Not Significant
Q03701,CEBPZ,0.22602697453195475,0.5380016950907455,0.8865069808642245,False,False,Not Significant
Q04637,EIF4G1,0.40183138718030254,0.7554996358454178,0.9567715980826277,False,False,Not Significant
Q04695,KRT17,-0.30237751530894386,0.6854978219795145,0.9341137784677785,False,False,Not Significant
Q04760,GLO1,-3.0749908431061437,0.18691315107203238,0.8477277197949515,False,False,Not Significant
Q04837,SSBP1,-1.8366864471258721,0.23390458897056798,0.8477277197949515,False,False,Not Significant
Q05519,SRSF11,-0.25904192767398904,0.798015698264698,0.9626126191104034,False,False,Not Significant
Q05639,EEF1A2,0.18576006684494129,0.7711494276482902,0.9604003766957241,False,False,Not Significant
Q06210,GFPT1,1.6558986357138004,0.38390965926110326,0.8477277197949515,False,False,Not Significant
Q06830;Q06830,PRDX1,-0.28649726890202665,0.5437930986096059,0.8865069808642245,False,False,Not Significant
Q07020,RPL18,-1.7679420700306814,0.027751544098945514,0.8477277197949515,True,False,Exploratory (Raw P < 0.05)
Q07021,C1QBP,-0.5711981548903102,0.5628490574650644,0.8865069808642245,False,False,Not Significant
Q07065,CKAP4,-0.3017531867631771,0.4606195856079351,0.8582914653060307,False,False,Not Significant
Q07666,KHDRBS1,-0.4629512737042578,0.15553763694498338,0.8477277197949515,False,False,Not Significant
Q07955,SRSF1,-0.579626599580715,0.37395974223771233,0.8477277197949515,False,False,Not Significant
Q08188,TGM3,-0.3421352100217252,0.5548368722058916,0.8865069808642245,False,False,Not Significant
Q08211,DHX9,-0.07875881872734691,0.7292826604202429,0.9503666999307534,False,False,Not Significant
Q08554,DSC1,-0.4731614655214713,0.5542553920235072,0.8865069808642245,False,False,Not Significant
Q08945,SSRP1,-2.757304432604938,0.17158261605082054,0.8477277197949515,False,False,Not Significant
Q08J23,NSUN2,-2.680959015691298,0.24569705261751998,0.8477277197949515,False,False,Not Significant
Q09028;Q16576,RBBP4;RBBP7,-1.8066177809633346,0.3910022189557703,0.8477277197949515,False,False,Not Significant
Q09666,AHNAK,-0.6153664759739872,0.03669840674432587,0.8477277197949515,False,False,Not Significant
Q10472;Q8IUC8,GALNT1;GALNT13,0.19303607870285866,0.9268664387325888,0.992588799436721,False,False,Not Significant
Q12834,CDC20,-1.9982880330892034,0.18223968543320807,0.8477277197949515,False,False,Not Significant
Q12873,CHD3,-1.8149961748660992,0.28374574476241143,0.8477277197949515,False,False,Not Significant
Q12904,AIMP1,-2.363125335633551,0.2574850584171391,0.8477277197949515,False,False,Not Significant
Q12905,ILF2,0.45788412055864747,0.41883239874122896,0.8482577095291921,False,False,Not Significant
Q12906,ILF3,-0.6121065387737845,0.22978700220191484,0.8477277197949515,False,False,Not Significant
Q12931,TRAP1,-0.09060658254168885,0.7845106076775998,0.9604003766957241,False,False,Not Significant
Q13029,PRDM2,-1.6168587949939424,0.46617259195831584,0.858770725677415,False,False,Not Significant
Q13085,ACACA,-0.18063288286296952,0.2986423559626584,0.8477277197949515,False,False,Not Significant
Q13144,EIF2B5,1.0114520628094588,0.6449450726051005,0.9154236231611119,False,False,Not Significant
Q13148,TARDBP,-0.8974817502268975,0.6730571501179538,0.9260225910801605,False,False,Not Significant
Q13151,HNRNPA0,-0.14458326489709883,0.885435863003449,0.987361526168294,False,False,Not Significant
Q13155,AIMP2,0.18389554531111685,0.7036184537704566,0.9404904906294363,False,False,Not Significant
Q13162,PRDX4,-3.828814109771839,0.09127119020725319,0.8477277197949515,False,False,Not Significant
Q13177,PAK2,-1.5474348633208344,0.599871187800828,0.8931352027727483,False,False,Not Significant
Q13257,MAD2L1,-5.187020672352867,0.0007451567115065233,0.5305515785926446,True,False,Exploratory (Raw P < 0.05)
Q13263,TRIM28,-0.6796668289564698,0.7601450844175427,0.9579173453190981,False,False,Not Significant
Q13268,DHRS2,-2.9866424182014155,0.3682601147733374,0.8477277197949515,False,False,Not Significant
Q13283,G3BP1,-2.993999939195221,0.25677211401343947,0.8477277197949515,False,False,Not Significant
Q13356,PPIL2,-0.044346124172928825,0.9814396664344568,0.9993212133993129,False,False,Not Significant
Q13423,NNT,0.3070431979151502,0.8605818822661401,0.9840375449311781,False,False,Not Significant
Q13427,PPIG,-3.6769600495838715,0.02656591570225774,0.8477277197949515,True,False,Exploratory (Raw P < 0.05)
Q13428,TCOF1,-1.6991196241446787,0.36176933684666934,0.8477277197949515,False,False,Not Significant
Q13435,SF3B2,-1.6756947318684254,0.38773567829703987,0.8477277197949515,False,False,Not Significant
Q13492,PICALM,-0.14411204088957774,0.8851701452042035,0.987361526168294,False,False,Not Significant
Q13509,TUBB3,0.8883218298159159,0.20803644164606055,0.8477277197949515,False,False,Not Significant
Q13510,ASAH1,-1.636370263972418,0.4968929114440577,0.8738687707641875,False,False,Not Significant
Q13523,PRP4K,-0.05089105671728067,0.9490761261753347,0.9937029628381181,False,False,Not Significant
Q13547,HDAC1,-1.5244892338554275,0.4131398066595904,0.8482577095291921,False,False,Not Significant
Q13557,CAMK2D,0.39298293615513646,0.8568865993579229,0.9840375449311781,False,False,Not Significant
Q13561,DCTN2,-1.4157547737069875,0.482171476929922,0.8636323507327285,False,False,Not Significant
Q13564,NAE1,-0.34908594597795606,0.8708568013693241,0.9842064167856488,False,False,Not Significant
Q13595,TRA2A,-2.1766174199473394,0.18478483113111396,0.8477277197949515,False,False,Not Significant
Q13601,KRR1,-0.1774228572847827,0.8207658134525903,0.9694296341902086,False,False,Not Significant
Q13630,GFUS,0.3748936174162072,0.8958643860548625,0.99122834944998,False,False,Not Significant
Q13642,FHL1,0.6125439898805549,0.5468296478061462,0.8865069808642245,False,False,Not Significant
Q13813,SPTAN1,0.6998988774160853,0.7096256419909452,0.941156536951188,False,False,Not Significant
Q13823,GNL2,-0.5210455221939743,0.17358642685269388,0.8477277197949515,False,False,Not Significant
Q13835,PKP1,0.1355110504575272,0.949873250959425,0.9937029628381181,False,False,Not Significant
Q13838,DDX39B,-0.452418155842345,0.40456522945696244,0.8477277197949515,False,False,Not Significant
Q13867,BLMH,0.3629687593672539,0.19012057060556564,0.8477277197949515,False,False,Not Significant
Q13907,IDI1,-0.3821528433232233,0.8699324223682795,0.984125745706662,False,False,Not Significant
Q14004,CDK13,2.1685655315962733,0.18185068710439342,0.8477277197949515,False,False,Not Significant
Q14008,CKAP5,-1.268127497457579,0.018104473562327625,0.8477277197949515,True,False,Exploratory (Raw P < 0.05)
Q14011,CIRBP,-3.5870244715155084,0.06436251284121755,0.8477277197949515,False,False,Not Significant
Q14103,HNRNPD,-0.5667914819572015,0.3635458962625849,0.8477277197949515,False,False,Not Significant
Q14126,DSG2,0.9646615746544187,0.6519242211084117,0.9167819700214441,False,False,Not Significant
Q14141;Q92599;Q9NVA2,SEPTIN6;SEPTIN8;SEPTIN11,-2.711991354015681,0.38179156536296105,0.8477277197949515,False,False,Not Significant
Q14157,UBAP2L,-1.2785852381440868,0.509983228090946,0.875235068800304,False,False,Not Significant
