PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q14677,CLINT1,2.8251873229919595,0.05838764171802789,0.31175406269954126,False,False,Not Significant
Q14683,SMC1A,2.7393599081016093,0.08732827716331992,0.33971659467928844,False,False,Not Significant
Q14684,RRP1B,0.5710008823158752,0.5024095690229906,0.6613112836028889,False,False,Not Significant
Q14689;Q9P265,DIP2A;DIP2B,3.4220029458693424,0.061236438969364225,0.31175406269954126,False,False,Not Significant
Q14690,PDCD11,3.7928463379236965,0.028760834954718893,0.2908953021134425,True,False,Exploratory (Raw P < 0.05)
Q14692,BMS1,0.865724796288033,0.3858948664202043,0.575529253681259,False,False,Not Significant
Q14694,USP10,3.4227059052018936,0.03707519840649265,0.31175406269954126,True,False,Exploratory (Raw P < 0.05)
Q14697,GANAB,-0.8076633108775226,0.6380930200157464,0.7548368557579758,False,False,Not Significant
Q14739,LBR,-0.8884833346002576,0.28684038704330245,0.537590566470098,False,False,Not Significant
Q14847,LASP1,2.81489567458149,0.23808823262907414,0.4843175991172236,False,False,Not Significant
Q14956,GPNMB,2.3456801362478563,0.18971390592012566,0.44155582390206916,False,False,Not Significant
Q14966,ZNF638,1.189308329331447,0.3910022189557705,0.575529253681259,False,False,Not Significant
Q14974,KPNB1,0.7300537431496821,0.3372539181825913,0.575529253681259,False,False,Not Significant
Q14978,NOLC1,-0.402110560623111,0.6039810318831936,0.7322235797488033,False,False,Not Significant
Q14980,NUMA1,-0.21652499449874796,0.4756779885137303,0.6397516342691888,False,False,Not Significant
Q14CN4,KRT72,-1.8503362805243437,0.26222909043474085,0.5114550854760235,False,False,Not Significant
Q15003,NCAPH,1.078298653722781,0.3910022189557705,0.575529253681259,False,False,Not Significant
Q15008,PSMD6,2.4671378331354683,0.26090830869410697,0.5101768076398799,False,False,Not Significant
Q15014,MORF4L2,0.08534643658011554,0.9061913572865896,0.9448946700425707,False,False,Not Significant
Q15019,SEPTIN2,4.414028616528965,0.024669686999742983,0.2727068560197081,True,False,Exploratory (Raw P < 0.05)
Q15021,NCAPD2,1.7701477450752154,0.1829804283018175,0.44155582390206916,False,False,Not Significant
Q15022,SUZ12,2.7937605985532,0.18220314090747686,0.44155582390206916,False,False,Not Significant
Q15031,LARS2,1.327065907795772,0.3910022189557705,0.575529253681259,False,False,Not Significant
Q15050,RRS1,0.5770645420767053,0.02847272494090532,0.2908953021134425,False,False,Not Significant
Q15056,EIF4H,3.464728195398397,0.06450843246537118,0.31175406269954126,False,False,Not Significant
Q15084,PDIA6,4.694998966325286,0.07992666585669235,0.3328710554502246,False,False,Not Significant
Q15118,PDK1,2.265218925350384,0.18170286638338537,0.44155582390206916,False,False,Not Significant
Q15120,PDK3,3.3655791773896335,0.1374818513935768,0.4414383255630493,False,False,Not Significant
Q15149,PLEC,-0.2518615628964431,0.5489442388492759,0.6940223591165845,False,False,Not Significant
Q15181,PPA1,0.6616814776868019,0.14633189837550634,0.44155582390206916,False,False,Not Significant
Q15185,PTGES3,0.6195200387399575,0.3300706812238399,0.575529253681259,False,False,Not Significant
