PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q9NW13,RBM28,-1.379299188998309,0.3910022189557703,0.641620554760231,False,False,Not Significant
Q9NW64,RBM22,-1.1425008656074784,0.5443854785865029,0.7621838300158253,False,False,Not Significant
Q9NWB6,ARGLU1,-0.9938560122809141,0.21571715604641623,0.5813885827168461,False,False,Not Significant
Q9NWH9,SLTM,1.5912253263511333,0.6257004034473228,0.8100435576431012,False,False,Not Significant
Q9NWT1,PAK1IP1,-0.4659457927770969,0.14682173701012025,0.5522606915850853,False,False,Not Significant
Q9NWT8,AURKAIP1,4.639366573237472,0.061182629367465526,0.4599799269233249,False,False,Not Significant
Q9NX20,MRPL16,3.5998452522639344,0.10946827193944197,0.5036190333774743,False,False,Not Significant
Q9NX58,LYAR,0.531384962446892,0.4070440875238808,0.6528623159101511,False,False,Not Significant
Q9NXF1,TEX10,1.3723066881437842,0.43095725228485415,0.6727983244006106,False,False,Not Significant
Q9NXL2,ARHGEF38,-1.2305350491641587,0.5946112276972337,0.7923542964376099,False,False,Not Significant
Q9NXR7,BABAM2,0.9545598467677486,0.3910022189557706,0.641620554760231,False,False,Not Significant
Q9NY12,GAR1,0.7226990780705806,0.0114609448262993,0.45538201890744395,False,False,Not Significant
Q9NY93,DDX56,0.5295754080179069,0.3253935924481551,0.641620554760231,False,False,Not Significant
Q9NYL9,TMOD3,1.4675148462214311,0.611745566785604,0.8021056998027043,False,False,Not Significant
Q9NYV4,CDK12,-0.045383697959964664,0.9661074889856174,0.9931827333516495,False,False,Not Significant
Q9NYY8,FASTKD2,0.14850068259284965,0.9418493605443615,0.9807628000771814,False,False,Not Significant
Q9NZ01,TECR,-1.4777587956089357,0.4836912686149284,0.718393663734689,False,False,Not Significant
Q9NZH6,IL37,3.5757811930739507,0.06333391927185988,0.4599799269233249,False,False,Not Significant
Q9NZI8,IGF2BP1,1.3490732674827255,0.14073307675888796,0.5522606915850853,False,False,Not Significant
Q9NZJ7,MTCH1,1.1895402921683749,0.3910022189557706,0.641620554760231,False,False,Not Significant
Q9NZM5,NOP53,1.171657164777308,0.63732307994264,0.8198456633288593,False,False,Not Significant
